family,lag_days,autocorr_x,autocorr_y,mean_abs_autocorr,abs_autocorr_x,abs_autocorr_y
AAM,155,-0.0498355716711838,-0.3478876094445375,0.1988615905578606,0.0498355716711838,0.3478876094445375
AAM,160,-0.0193066198175652,-0.3276904068165217,0.1734985133170434,0.0193066198175652,0.3276904068165217
AAM,165,-0.0256804647443995,-0.3252280430604946,0.175454253902447,0.0256804647443995,0.3252280430604946
AAM,170,-0.0504537974281175,-0.33290762910209,0.1916807132651037,0.0504537974281175,0.33290762910209
AAM,175,-0.0278929088822985,-0.357085258669746,0.1924890837760222,0.0278929088822985,0.357085258669746
AAM,180,-0.0257661752991644,-0.3913775259129737,0.2085718506060691,0.0257661752991644,0.3913775259129737
AAM,185,-0.0372655718796373,-0.3777969172899683,0.2075312445848028,0.0372655718796373,0.3777969172899683
AAM,190,-0.0672570143888315,-0.3819163929439267,0.2245867036663791,0.0672570143888315,0.3819163929439267
AAM,195,-0.0406552007619121,-0.39788983205043,0.219272516406171,0.0406552007619121,0.39788983205043
AAM,200,-0.0790669484816533,-0.3751091191145463,0.2270880337980998,0.0790669484816533,0.3751091191145463
AAM,205,-0.0539231516250048,-0.3501018843954387,0.2020125180102217,0.0539231516250048,0.3501018843954387
AAM,210,-0.0152852545658013,-0.2676278232984728,0.141456538932137,0.0152852545658013,0.2676278232984728
AAM,215,-0.0234578398876414,-0.2938965470562784,0.1586771934719599,0.0234578398876414,0.2938965470562784
AAM,220,-0.0331358181496245,-0.2902974933887416,0.161716655769183,0.0331358181496245,0.2902974933887416
AAM,225,-0.0096738273594621,-0.2200288053003802,0.1148513163299212,0.0096738273594621,0.2200288053003802
AAM,230,-0.0591800987755369,-0.2239902454872419,0.1415851721313894,0.0591800987755369,0.2239902454872419
AAM,235,-0.0403912265528913,-0.2170964790279215,0.1287438527904064,0.0403912265528913,0.2170964790279215
AAM,240,-0.0241490448163305,-0.2111603024433466,0.1176546736298385,0.0241490448163305,0.2111603024433466
AAM,245,-0.0114230785460116,-0.1044191042738738,0.0579210914099427,0.0114230785460116,0.1044191042738738
AAM,250,-0.0720413890866311,-0.1400755202782792,0.1060584546824551,0.0720413890866311,0.1400755202782792
AAM,255,0.0132646015408015,-0.1065876970671429,0.0599261493039722,0.0132646015408015,0.1065876970671429
AAM,260,0.0126340100118197,-0.0272477012320025,0.0199408556219111,0.0126340100118197,0.0272477012320025
AAM,265,0.005992972374285,-0.0575536446201509,0.031773308497218,0.005992972374285,0.0575536446201509
AAM,270,0.0007920902868715,-0.0115550875181288,0.0061735889025002,0.0007920902868715,0.0115550875181288
AAM,275,-0.0053040109913873,-0.0021862263698182,0.0037451186806027,0.0053040109913873,0.0021862263698182
AAM,280,-0.0506312406831466,0.0140462219703569,0.0323387313267517,0.0506312406831466,0.0140462219703569
AAM,285,0.0438858597786759,0.0861546110854003,0.0650202354320381,0.0438858597786759,0.0861546110854003
AAM,290,-0.0009571185328506,0.0859273832262524,0.0434422508795515,0.0009571185328506,0.0859273832262524
AAM,295,-0.0013493830663189,0.1007958404453604,0.0510726117558396,0.0013493830663189,0.1007958404453604
AAM,300,-0.028831632979467,0.090481722047986,0.0596566775137265,0.028831632979467,0.090481722047986
AAM,305,0.0661728579865969,0.1576390098804972,0.111905933933547,0.0661728579865969,0.1576390098804972
AAM,310,-0.0473582453931651,0.1877292884395786,0.1175437669163719,0.0473582453931651,0.1877292884395786
AAM,315,0.0307671628393864,0.2001136546859631,0.1154404087626747,0.0307671628393864,0.2001136546859631
AAM,320,-0.0245626550008304,0.2055728925982712,0.1150677737995508,0.0245626550008304,0.2055728925982712
AAM,325,0.007627574508454,0.219964026385797,0.1137958004471255,0.007627574508454,0.219964026385797
AAM,330,0.0551280901672915,0.2704166003672775,0.1627723452672845,0.0551280901672915,0.2704166003672775
AAM,335,0.0955354441470829,0.3066731274351225,0.2011042857911026,0.0955354441470829,0.3066731274351225
AAM,340,0.0833028780012501,0.3578408368214764,0.2205718574113633,0.0833028780012501,0.3578408368214764
AAM,345,0.0265907972811038,0.3625315527610243,0.194561175021064,0.0265907972811038,0.3625315527610243
AAM,350,0.0516701435506469,0.3561604091828781,0.2039152763667625,0.0516701435506469,0.3561604091828781
AAM,355,0.1051242037834295,0.3611564464142381,0.2331403250988338,0.1051242037834295,0.3611564464142381
AAM,360,0.0084033969604021,0.3596416046691028,0.1840225008147525,0.0084033969604021,0.3596416046691028
AAM,365,0.052804346919442,0.3800227166606865,0.2164135317900642,0.052804346919442,0.3800227166606865
OAM,0,1.0,1.0,1.0,1.0,1.0
